Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,200x200-200x200,3.0,0.076,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,250x250-250x250,24.0,0.746,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,300x250-300x250,33.0,1.119,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,300x300-300x300,7.0,0.257,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,400x250-400x250,24.0,0.951,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,400x300-400x300,23.0,0.977,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,400x350-400x350,3.0,0.136,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,450x250-450x250,3.0,0.127,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,500x250-500x250,12.0,0.544,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,500x300-500x300,1.0,0.048,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,500x350-500x350,8.0,0.408,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,550x400-550x400,20.0,1.134,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,650x300-650x300,2.0,0.113,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,650x350-650x350,6.0,0.357,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,700x400-700x400,12.0,0.783,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,700x450-700x450,3.0,0.204,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,750x500-750x500,2.0,0.148,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,800x400-800x400,20.0,1.419,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,800x500-800x500,3.0,0.23,0.0,,,
M-H Flanged Rectangular Union: Standard,Duct Wrap,25 mm,900x300-900x300,5.0,0.355,0.0,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,150x300-150x300,6.0,0.0,0.318,,30.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,150x550-150x550,2.0,0.0,0.247,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x200-200x200,4.0,0.0,0.377,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x250-200x250,4.0,0.0,0.283,,30.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x250-200x250,3.0,0.0,0.636,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x300-200x300,1.0,0.0,0.118,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x300-200x300,2.0,0.0,0.471,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x400-200x400,4.0,0.0,0.565,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x450-200x450,8.0,0.0,1.225,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x450-200x450,1.0,0.0,0.306,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,200x500-200x500,2.0,0.0,0.66,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,250x200-250x200,2.0,0.0,0.53,,90.00°,0.75
